Date,Close,High,Low,Open,Volume
2011-09-26,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-27,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-28,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-29,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-30,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-03,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-04,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-05,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-06,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-07,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-10,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-11,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-12,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-13,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-14,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-17,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-18,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-19,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-20,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-21,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-24,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-25,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-26,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-27,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-28,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-10-31,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-01,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-02,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-03,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-04,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-07,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-08,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-09,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-11-10,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
